Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat,p_form_ungrammatical_erg,I_form_ungrammatical_erg
0,wiki_electricity_00993,6,"დამუხტული სხეულების ურთიერთქმედებას სწავლობს ფიზიკის [MASK] კლასიკური ელექტროდინამიკა, რომელიც სამართლიანია მანამ, სანამ კვანტური ეფექტები უმნიშვნელოა.",დარგი,დარგს,დარგმა,-323.6704549452519,323.6704549452519,-330.81515495229934,330.81515495229934,-336.05753676062056,336.05753676062056
1,wiki_engineering_01049,2,კომპიუტერული [MASK] უმეტესად სწავლობენ ელექტრო და პროგრამულ ინჟინერიას.,ინჟინრები,ინჟინრებს,ინჟინრებმა,-186.95881878903666,186.95881878903666,-190.35775025730698,190.35775025730698,-195.72773804496208,195.72773804496208
2,wiki_environment_01095,1,"[MASK] თავისი სამეურნეო საქმიანობით (ტყის გაშენებით ან გაჩეხვით, ჭაობების ამოშრობით, უდაბნოების მორწყვით და ა.შ.) სახეს უცვლის (გარკვეული ტერიტორიის ფარგლებში) ჰავას, რომელზედაც განსაკუთრებით უარყოფითად მოქმედებს ატმოსფეროს დაჭუჭყიანება.",ადამიანი,ადამიანს,ადამიანმა,-488.5039982902015,488.5039982902015,-487.24417957380115,487.24417957380115,-504.0935725815419,504.0935725815419
3,wiki_epidemiology_01113,1,"[MASK] „ეპიდემია“ გულისხმობს ინფეცქიური დაავადებების (გადამდები) სწრაფ მატებას ან იმ ახალი დაავადებების გავრცელებას, რომლებიც მანამდე არ გვხვდებოდა მოცემულ ტერიტორიაზე.",ტერმინი,ტერმინს,ტერმინმა,-423.9622249940088,423.9622249940088,-444.78730995085016,444.78730995085016,-439.17282442355014,439.17282442355014
4,wiki_ethics_01132,15,"ეთიკის კოდექსს არ გააჩნია კანონის ძალა და ემყარება ადამიანთა ჯგუფის მიერ დადგენილ წესებს, [MASK] თავის მხრივ ითვალისწინებენ საზოგადოებაში დადგენილ მორალურ წესებს და საერთაშორისოდ აღიარებულ ნორმებს ამა თუ იმ სფეროში.",რომლებიც,რომლებსაც,რომლებმაც,-410.77902467844433,410.77902467844433,-428.495465908041,428.495465908041,-451.04285483201033,451.04285483201033
5,wiki_ethics_01145,2,"ღირსების [MASK] მოქმედების მორალურ ღირებულებას პიროვნების ეთიკური გადმოსახედიდან აფასებს, არა როგორც დეონტოლოგია, კონსეკვენციალიზმი, ან პრაგმატული ეთიკა.",ეთიკა,ეთიკას,ეთიკამ,-496.76449873821423,496.76449873821423,-484.43913749320626,484.43913749320626,-508.0135261336808,508.0135261336808
6,wiki_ethnography_01152,3,"ამ სკოლის [MASK] კაცობრიობის კულტურას განიხილავდნენ როგორც პროგრესული განვითარების ერთიან, კანონზომიერ პროცესს.",წარმომადგენლები,წარმომადგენლებს,წარმომადგენლებმა,-212.5331122486088,212.5331122486088,-214.1740322505251,214.1740322505251,-214.63244504785393,214.63244504785393
7,wiki_ethnography_01165,1,[MASK] წარმოადგენს საქართველოს მინიატურულ მოდელს და ასახავს მის მრავალფეროვან ეთნოკულტურას.,მუზეუმი,მუზეუმს,მუზეუმმა,-200.72993748830132,200.72993748830132,-223.8710735750235,223.8710735750235,-233.134234137878,233.134234137878
8,wiki_history_01498,10,"სამეცნიერო დაწესებულება არის მეცნიერთა და სხვა პირთა გაერთიანება, [MASK] სამეცნიერო კვლევებს აწარმოებენ.",რომლებიც,რომლებსაც,რომლებმაც,-167.82664217219738,167.82664217219738,-163.17021123238976,163.17021123238976,-204.1240537135021,204.1240537135021
9,wiki_industry_01633,3,თურქეთის საავტომობილო [MASK] მნიშვნელოვან როლს თამაშობს ქვეყნის ეკონომიკის საწარმოო სექტორში.,მრეწველობა,მრეწველობას,მრეწველობამ,-149.3252525318221,149.3252525318221,-154.8246257813134,154.8246257813134,-151.5098850767346,151.5098850767346
10,wiki_international_01662,7,"საერთაშორისო სამართლის ქვესახეობას წარმოადგენს საერთაშორისო საზღვაო [MASK], საერთაშორისო საჰაერო სამართალი, საერთაშორისო სამართალი კოსმოსური სივრცის გამოყენების თაობაზე, ადამიანის უფლებები, საერთაშორისო ეკონომიკური სამართალი, საერთაშორისო გარემოს დაცვის სამართალი.",სამართალი,სამართალს,სამართალმა,-346.1788328480807,346.1788328480807,-353.6415255949374,353.6415255949374,-353.1586633888381,353.1586633888381
11,wiki_international_01704,2,"ორივე [MASK] სახელმწიფოს და მის ინტერესებს, როგორც ცენტრალური სუვიექრის ანალიზებს, უპირველესად მიიჩნევს; ნეოლიბერალებს უბრალოდ აქვთ ამ ინტერესების უფრო დიდი კონცეფცია.",თეორია,თეორიას,თეორიამ,-414.5819842686846,414.5819842686846,-417.30386322317446,417.30386322317446,-425.7640566204599,425.7640566204599
12,wiki_irrigation_01717,3,ამ მეთოდების [MASK] აუმჯობესებს სასოფლო სამეურნეო კულტურების მოსავლიანობას.,გამოყენება,გამოყენებას,გამოყენებამ,-206.16546896630283,206.16546896630283,-218.4043977277154,218.4043977277154,-222.43247257570673,222.43247257570673
13,wiki_linguistics_01814,3,"მონათესავე ენათა [MASK] გულისხმობს ლექსიკის (მარტივი ფუძეების ანუ ძირების), ბგერების (ფონემების), ფორმანტებისა და შესიტყვების (სინტაგმის) სტრუქტურის შესწავლას.",შედარება,შედარებას,შედარებამ,-510.06466100942356,510.06466100942356,-510.69057365792963,510.69057365792963,-523.0728658919473,523.0728658919473
14,wiki_literary_01833,2,"ლიტერატურის [MASK] (პოეტოლოგია) შეისწავლის ზოგად ლიტ. კანონზომიერებებს, ლიტ-რას, როგორც ფენომენს.",თეორია,თეორიას,თეორიამ,-177.94453496297686,177.94453496297686,-189.80496555287993,189.80496555287993,-204.3180855667567,204.3180855667567
15,wiki_management_01908,3,სამუშაოს დაშლის [MASK] წარმოადგენს პროექტის ზოგადი დაგეგმვის და კონტროლის სტანდარტულ ჩარჩოს.,სტრუქტურა,სტრუქტურას,სტრუქტურამ,-230.0515747705238,230.0515747705238,-218.4472663180935,218.4472663180935,-232.9749291773143,232.9749291773143
16,wiki_metallurgy_02027,6,"ტექნოლოგიური თვალსაზრისით, მეურნეობის ეს [MASK] მოიცავს ფერადი, კეთილშობილი და იშვიათი ლითონების მოპოვებას, მათ გამდიდრებას და გამოდნობას.",დარგი,დარგს,დარგმა,-301.6351796674724,301.6351796674724,-322.4928311135017,322.4928311135017,-323.6605613844403,323.6605613844403
17,wiki_molecular_02130,8,დნმ-ის მოლეკულის ასეთი თვითგაორმაგების უნარის გამო მემკვიდრეული [MASK] თაობიდან თაობას გადაეცემა.,ინფორმაცია,ინფორმაციას,ინფორმაციამ,-267.2213506106443,267.2213506106443,-275.2162078983974,275.2162078983974,-274.8420689792559,274.8420689792559
18,wiki_music_02171,2,"ეს [MASK] კონკრეტულად ერთ ჟანრს ან ჟღერადობას არ გულისხმობს და მას სხვადასხვაგვარი მნიშვნელობა აქვს, დროისა და ადგილის მიხედვით.",ტერმინი,ტერმინს,ტერმინმა,-338.4652833371133,338.4652833371133,-307.3985950693067,307.3985950693067,-323.7540326954459,323.7540326954459
19,wiki_novel_02190,3,ეს ვრცელი [MASK] ბოლო ორი საუკუნის საქართველოს სულიერ მდგომარეობას ასახავს და შეუნელებელი ინტერესით იკითხება.,რომანი,რომანს,რომანმა,-242.6479226117754,242.6479226117754,-248.17293990136142,248.17293990136142,-264.7037677225505,264.7037677225505
20,wiki_philology_02400,10,"ანგლისტიკა შეიძლება განიხილებოდეს გერმანისტიკული მეცნიერების ერთ-ერთ დარგადაც, განსაკუთრებით [MASK] შეეხება ენათმეცნიერების სფეროს.",ეს,ამას,ამან,-322.27592697700777,322.27592697700777,-322.2445387919494,322.2445387919494,-330.45614137762766,330.45614137762766
21,wiki_physics_02511,8,მის ერთ-ერთ ცენტრალურ თემას წარმოადგენს მატერიის აგებულების [MASK].,შესწავლა,შესწავლას,შესწავლამ,-109.91360197171792,109.91360197171792,-107.99003986864737,107.99003986864737,-141.82114287648773,141.82114287648773
22,wiki_political_02561,1,"[MASK] პლურალიზმი ნიშნავს განსხვავებული აზრების, მსოფლმხედველობების, ცხოვრების წესის, ინტერესების თანაარსებობას.",ტერმინი,ტერმინს,ტერმინმა,-327.0794082943832,327.0794082943832,-352.1497251100325,352.1497251100325,-349.7552591242662,349.7552591242662
23,wiki_politics_02578,6,მონეტარულ პოლიტიკას ძირითადად წარმართავს ცენტრალური [MASK] მონეტარული პოლიტიკის ინსტრუმენტების მეშვეობით.,ბანკი,ბანკს,ბანკმა,-231.47848078533238,231.47848078533238,-239.63543667540267,239.63543667540267,-235.09103129811635,235.09103129811635
24,wiki_politics_02588,8,"ზოგიერთი ეკონომისტი თანხმდება, რომ სანდო შემოსავლის [MASK] ხელს შეუწყობს ინფლაციის თავიდან აცილებას.",პოლიტიკა,პოლიტიკას,პოლიტიკამ,-277.61276604187833,277.61276604187833,-274.51783057066285,274.51783057066285,-277.85531688369065,277.85531688369065
25,wiki_sinology_02674,1,"[MASK] მოიცავს როგორც ჩინური ენის 7 დონეს, აგრეთვე ფონეტიკას, ჩინურ კულტურასა და ლიტერატურას, მითოლოგიას, რელიგიებსა და ჩინეთის ისტორიას.",პროგრამა,პროგრამას,პროგრამამ,-297.12152857817085,297.12152857817085,-305.737659921511,305.737659921511,-303.6018810513807,303.6018810513807
26,wiki_sociology_02730,1,[MASK] სოციოლოგიას სოციალურ სტატიკად და სოციალურ დინამიკად ყოფდა.,კონტი,კონტს,კონტმა,-176.75310763793794,176.75310763793794,-169.89994105654705,169.89994105654705,-173.84730288540396,173.84730288540396
27,wiki_sociology_02732,11,"ფემინიზმი მოიცავს სოციოლოგიურ თეორიებს, პოლიტიკურ და ფილოსოფიურ მოძრაობებს, [MASK] ეხება ქალთა მდგომარეობას სოციალურ, პოლიტიკურ და ეკონომიკურ კონტექსტში.",რომლებიც,რომლებსაც,რომლებმაც,-333.2664423780458,333.2664423780458,-339.6618268826728,339.6618268826728,-346.83788799416175,346.83788799416175
28,wiki_tax_02805,2,"საგადასახადო [MASK] ადგენს ხარჯებს, რომელიც არ შეიძლება გამოიქვითოს.",კოდექსი,კოდექსს,კოდექსმა,-212.19496340415452,212.19496340415452,-223.89969832041007,223.89969832041007,-230.39039070734316,230.39039070734316
29,wiki_technology_02823,4,"თანამედროვე კომპიუტერები, [MASK] ეფუძნება ინტეგრირებულ წრედებს, მილიონიდან მილიარდამდე უფრო მეტად უნარიანია, ვიდრე ადრეული მანქანები და იკავებენ მცირე სივრცეს.",რომლებიც,რომლებსაც,რომლებმაც,-394.75597177946895,394.75597177946895,-396.5121824411095,396.5121824411095,-409.62997365316926,409.62997365316926
30,wiki_telecommunications_02847,13,"განასხვავებენ ასევე საფოსტო კავშირს, რომელსაც საფუძველი ჩაუყარა წერილობითმა ინფორმაციამ, საფოსტო [MASK] ინფორმაციის მიღება-გადაცემას ფოსტის საშუალებით ახდენს.",კავშირი,კავშირს,კავშირმა,-306.140182779359,306.140182779359,-292.83429103575935,292.83429103575935,-296.16049670563865,296.16049670563865
31,wiki_veterinary_02926,8,"1959 წელს ინსტიტუტს შეუერთდა საქართველოს ვეტერინარიის სამეცნიერო-კვლევითი [MASK] და მან მიიღო საქართველოს ზოოტექნიკურ-სავეტერინარო სასწავლო-კვლევითი ინსტიტუტის, ხოლო 1999 წლის 11 მაისიდან კი საქართველოს სახელმწიფო ზოოტექნიკურ-სავეტერინარო აკადემიის სახელწოდება.",ინსტიტუტი,ინსტიტუტს,ინსტიტუტმა,-467.11479635141035,467.11479635141035,-473.66677291385764,473.66677291385764,-482.75820774774314,482.75820774774314
32,wiki_volcanology_02983,14,"ძლიერი ამონთხევისას ლავა რელიეფის დადაბლებებს ავსებს და გაცივების შემდეგ ჩნდება ლავური განფენი, [MASK] შერჩევითი ეროზიის შედეგად ლავურ პლატოებს (ზეგნებს) წარმოქმნის.",რომლებიც,რომლებსაც,რომლებმაც,-558.7698345763597,558.7698345763597,-564.569845565624,564.569845565624,-569.5871668228733,569.5871668228733
33,wiki_aviation_00388,3,საერთაშორისო საჰაერო [MASK] უპირატესად არეგულირებს სამოქალაქო ავიაციის საქმიანობას.,სამართალი,სამართალს,სამართალმა,-167.3286917734235,167.3286917734235,-166.30020191065395,166.30020191065395,-170.00082050759758,170.00082050759758
34,wiki_aviation_00390,9,"ასეთი ფრენების შესრულება რეგულირდება სპეციალური აერსანავიგაციო წესებით, [MASK] ქმნის საერთაშორისო ფრენების რეჟიმს.",რომლებიც,რომლებსაც,რომლებმაც,-292.3842254556144,292.3842254556144,-298.1879620325073,298.1879620325073,-311.66765607395627,311.66765607395627
35,wiki_banking_00411,3,საქართველოს ეროვნული [MASK] წარმოადგენს საქართველოს ცენტრალურ ბანკს და მისი სტატუსი განსაზღვრულია ქვეყნის კონსტიტუციით.,ბანკი,ბანკს,ბანკმა,-151.9993730783538,151.9993730783538,-158.61076269169257,158.61076269169257,-193.458364904282,193.458364904282
36,wiki_bioinformatics_00481,25,"ამ პრობლემის გადასაჭრელად, ინჟინრები, რომელთაც სურდათ ბიოლოგიური ინჟინერიის შესწავლა, უფრო მეტი დროის დათმობა დაიწყეს და კვლევა ჩაუტარეს დეტალებსა და პროცესებს, [MASK] მოიცავენ როგორიცაა ბიოლოგიას, ფსიქოლოგიას და მედიცინას.",რომლებიც,რომლებსაც,რომლებმაც,-534.8025520349805,534.8025520349805,-547.4087630207628,547.4087630207628,-554.0867752528808,554.0867752528808
37,wiki_biotechnology_00532,8,"თანამედროვე ბიოტექნოლოგიები მეტწილად გენურ ინჟინერიას იყენებენ — [MASK] მარტივ ცხოველთა და მცენარეთა უჯრედებს ცვლიან, რათა სასარგებლო თვისებები მიანიჭონ.",მეცნიერები,მეცნიერებს,მეცნიერებმა,-386.17221752809314,386.17221752809314,-376.88819876870684,376.88819876870684,-389.53638653919774,389.53638653919774
38,wiki_cellular_00578,7,"ძირითადი პროცესი, რომელსაც ცხოველთა ემბრიონული [MASK] მოიცავს არის: ემბრიონული ინდუქცია, მორფოგენეზი, უჯრედების დიფერენცირება, ზრდა და დროის ზოგადი კონტროლი, ევოლუციური განვითარების ბიოლოგის კვლევის პერიოდში.",განვითარება,განვითარებას,განვითარებამ,-510.3402719541519,510.3402719541519,-510.52881389970094,510.52881389970094,-517.7169993065002,517.7169993065002
39,wiki_cellular_00584,7,"ბიოპოლიმერები — მაღალმოლეკულური ბუნებრივი ნაერთები, [MASK] ყველა ცოცხალი ორგანიზმის სტრუქტურულ საფუძველს წარმოადგენენ და ცხოველმოქმედების პროცესში განმსაზღვრელ როლს ასრულებენ.",რომლებიც,რომლებსაც,რომლებმაც,-437.85003479980156,437.85003479980156,-444.3556049272444,444.3556049272444,-463.26776123044397,463.26776123044397
40,wiki_cellular_00591,4,"დნმ-ის მოლეკულის ხაზოვანი [MASK] უზრუნველყოფს გენეტიკური ინფორმაციის ჩაწერას, მის გაორმაგებას დნმ-ის მატრიცული სინთეზის დროს და ერთი და იმავე გენის ასლების ე.ი. რნმ-ის მოლეკულების მიღებას.",სტრუქტურა,სტრუქტურას,სტრუქტურამ,-569.0481073054224,569.0481073054224,-562.7199126938801,562.7199126938801,-577.429816444133,577.429816444133
41,wiki_civil_00652,9,"როგორც წესი, სამოქალაქო საქმეს პირველი ინსტანციით ერთი [MASK] იხილავს.",მოსამართლე,მოსამართლეს,მოსამართლემ,-128.34502545532968,128.34502545532968,-128.34502545532968,128.34502545532968,-128.34502545532968,128.34502545532968
